CustomerID, Name ,Email, Signup Date, Age, Country ,Subscribed
1, John Doe, johndoe@gmail.com ,2022/01/15,29,usa ,Yes
2, jane SMITH, janesmith@GMAIL.com,15-01-2022, ,United States,y
3, Mike O'Conner, mike@outlook.,2022-01-16,45,US,yes
4, Ana-Maria, ana@@hotmail.com ,2022/01/17, 35,usA,Yes
5, Li Wei, liwei@yahoo.com,2022-01-17, 29,China,YES
6, Ahmed  , ahmed@gmail.com,2022.01.17, ,Egypt,no
7, John Doe, johndoe@gmail.com ,2022/01/15,29,USA ,Yes
8, , unknown@unknown.com,2022-01-18,38,Canada,No
9, Priya Mehta,priya@gmail.com, 2022-01-18 ,twenty-eight,India,yes
10,Martin King,mking@yahoo.com,2022/01/19,54,,Y
11,Jane Smith, janesmith@gmail.com ,2022-01-15,,United States,Yes
12,Samuel, samuel@@yahoo.com,2022-01-20,42,UK,yes
13,Lee Wong, leewonggmail.com,2022-01-20,33,China,YES
14,Marco Rios, marco@outlook.com,2022/01/21, ,Mexico,Yes
15,Olga Petrova, olga@rambler.ru,2022-01-21,27,Russia,YES
16,Bob Martin, bob@@gmail.com,21-01-2022,30,USA ,y
17,Linda, linda@gmail,2022/01/22,29,Canada,yes
18, , , , , ,
19,Aisha Khan,aisha.khan@gmail.com,2022-01-23,28,Pakistan,yes
20, , someone@site.com,2022-01-24,32,,no
